Date,Harga Beras
2010-01,6702.49
2010-02,6887.83
2010-03,6853.78
2010-04,6761.49
2010-05,6772.46
2010-06,6873.45
2010-07,7025.88
2010-08,7317.51
2010-09,7350.8
2010-10,7391.27
2010-11,7457.08
2010-12,7617.46
2011-01,7853.48
2011-02,7612.37
2011-03,7371.25
2011-04,7199.03
2011-05,7233.47
2011-06,7463.1
2011-07,7899.41
2011-08,8152.01
2011-09,8255.34
2011-10,8416.09
2011-11,8496.46
2011-12,8726.09
2012-01,8726.09
2012-02,8777.55
2012-03,8687.01
2012-04,8582.55
2012-05,8536.89
2012-06,8554.3
2012-07,8606.15
2012-08,8635.17
2012-09,8623.56
2012-10,8624.33
2012-11,8654.51
2012-12,8702.1
2013-01,8834.82
2013-02,8842.94
2013-03,8782.58
2013-04,8711.39
2013-05,8681.21
2013-06,8784.42
2013-07,9017.72
2013-08,9056.67
2013-09,9057.99
2013-10,9108.46
2013-11,9152.07
2013-12,9262
2014-01,9433.17
2014-02,9531.2
2014-03,9595.89
2014-04,9424.65
2014-05,9413.91
2014-06,9462.01
2014-07,9525.38
2014-08,9525.38
2014-09,9693.67
2014-10,9780.91
2014-11,9924.39
2014-12,10343.98
2015-01,10612.11
2015-02,10765.74
2015-03,10986.76
2015-04,10648.34
2015-05,10568.63
2015-06,10679
2015-07,10732
2015-08,10935
2015-09,11055
2015-10,11169
2015-11,11365
2015-12,11465
2016-01,11614.37
2016-02,11729.36
2016-03,11677.75
2016-04,11449
2016-05,11417
2016-06,11469
2016-07,11498
2016-08,11475
2016-09,11448
2016-10,11432.58
2016-11,11450
2016-12,11476
2017-01,11579
2017-02,11571.24
2017-03,11494
2017-04,11449
2017-05,11465
2017-06,11465
2017-07,11448
2017-08,11411
2017-09,11481.84
2017-10,11552
2017-11,11665.08
2017-12,11838
2018-01,12276
2018-02,12414
2018-03,12299
2018-04,12035
2018-05,11943
2018-06,11907.26
2018-07,11936
2018-08,11899
2018-09,11900
2018-10,11926.21
2018-11,12013
2018-12,12105.77
2019-01,12211.09
2019-02,12222
2019-03,12124
2019-04,12019
2019-05,12008
2019-06,12009
2019-07,12021
2019-08,12018
2019-09,12050
2019-10,12108
2019-11,12120
2019-12,12183.03
2020-01,12342.74
2020-02,12355.15
2020-03,12368
2020-04,12382.1
2020-05,12293.03
2020-06,12223.98
2020-07,12212.63
2020-08,12212.07
2020-09,12188.86
2020-10,12186.97
2020-11,12178.62
2020-12,12184.52
2021-01,10474
2021-02,10479
2021-03,10424
2021-04,10356
2021-05,10385
2021-06,10384
2021-07,10361
2021-08,10352
2021-09,10351
2021-10,10367
2021-11,10375
2021-12,10429
2022-01,10496
2022-02,10471
2022-03,10463
2022-04,10455
2022-05,10448
2022-06,10448
2022-07,10449
2022-08,10551
2022-09,10772
2022-10,10947
2022-11,11012
2022-12,11363
2023-01,11647.91
2023-02,11990.12
2023-03,12041.64
2023-04,12092.38
2023-05,12102.7
2023-06,12115.81
2023-07,12141.72
2023-08,12265.68
2023-09,13036.96
2023-10,13315.29
2023-11,13380.4
2023-12,13458.06
2024-01,13588
2024-02,14397
2024-03,14528
2024-04,13902
2024-05,13471
2024-06,13433
2024-07,13571
2024-08,13600
2024-09,13611
